Names,Gender,Wealth
Abogado,1,High Class
Alex,1,Unknown
Alonso,1,Middle Class
Amparo,2,Middle Class
Aracelia,2,High Class
Benita,2,Middle Class
Chuy,1,Low Class
Cmd. Toledo,1,High Class
Crisanta,2,Low Class
Don Ernesto,1,High Class
Enriqueta,2,High Class
Farm Worker,1,Unknown
Federico,1,Middle Class
Felipe,1,Middle Class
Filadelfo,1,Middle Class
Gabirella,2,Middle Class
Gossip woman 1,2,Low Class
Gossip woman 2,2,Low Class
Gossip woman 3,2,Low Class
Hitman,1,Unknown
Illuminada,2,Low Class
Ivana,2,High Class
Jose Miguel,1,Middle Class
Juan,1,Low Class
Leonor,2,Middle Class
Lucy,2,Unknown
Margarita,2,Unknown
Oracio,1,High Class
Oscar,1,High Class
Padre (De las Penas),1,Middle Class
Padre (Justino),1,Middle Class
Padre (Mexico),1,Middle Class
Primo,1,Low Class
Rafaela,2,Low Class
Rosendo,1,High Class
Sabino,1,Low Class
Sandy,2,High Class
Sandy's Dad,1,High Class
Santiaguito,1,Middle Class
Serafin,1,Low Class
Sindico,1,High Class
Sra Isabel,2,High Class
Temo,1,Low Class
Teresa,2,Low Class
Teresita,2,Low Class
Valentina,2,High Class
Witness 1,2,Unknown
