Names,Id,Gender,Wealth
Abogado,1,1.0,High Class
Alex,2,1.0,Unknown
Alonso,3,1.0,Middle Class
Amparo,4,2.0,Middle Class
Aracelia,5,2.0,High Class
Benita,6,2.0,Middle Class
Chuy,7,1.0,Low Class
Cmd. Toledo,8,1.0,High Class
Crisanta,9,2.0,Low Class
Don Ernesto,10,1.0,High Class
Enriqueta,11,2.0,High Class
Farm Worker,12,1.0,Unknown
Federico,13,1.0,Middle Class
Felipe,14,1.0,Middle Class
Filadelfo,15,1.0,Middle Class
Gabirella,16,2.0,Middle Class
Gossip woman 1,17,2.0,Low Class
Gossip woman 2,18,2.0,Low Class
Gossip woman 3,19,2.0,Low Class
Hitman,20,1.0,Unknown
Illuminada,21,2.0,Low Class
Ivana,22,2.0,High Class
Jose Miguel,23,1.0,Middle Class
Juan,24,1.0,Low Class
Leonor,25,2.0,Middle Class
Lucy,26,2.0,Unknown
Margarita,27,2.0,Unknown
Oracio,28,1.0,High Class
Oscar,29,1.0,High Class
Padre (De las Penas),30,1.0,Middle Class
Padre (Justino),31,1.0,Middle Class
Padre (Mexico),32,1.0,Middle Class
Primo,33,1.0,Low Class
Rafaela,34,2.0,Low Class
Rosendo,35,1.0,High Class
Sabino,36,1.0,Low Class
Sandy,37,2.0,High Class
Sandy's Dad,38,1.0,High Class
Santiaguito,39,1.0,Middle Class
Serafin,40,1.0,Low Class
Sindico,41,1.0,High Class
Sra Isabel,42,2.0,High Class
Temo,43,1.0,Low Class
Teresa,44,2.0,Low Class
Teresita,45,2.0,Low Class
Valentina,46,2.0,High Class
Witness 1,47,2.0,Unknown
Nurse,48,,Unknown
